review_text,review_rating
"Toko agung yang berada di jl. Ratulangi ini sangat baik untuk memmenuhi semua kebutuhan sekolah dan alat tulis kantor, selain itu toko agung juga tepat berhadapan dengan mall ratu indah kota makassar. Silahkan berkunjung",5
"Sangat bagus, lengkap segala keperluan usaha ada. Saya kebetulan mencari styrofoam lembaran.",4
Toko ATK Paling Lengkap & Paling Recomended 👍,5
Perlengkapannya sampe saat yg di butuhkan selalu ada...,5
"Toko yang menjual lengkap alat tulis, mulai dari pulpen, map, lem, sampai tinta printer dan berbagai macam kertas, ada juga mainan dan peralatan dapur umum dan bingkai foto",5
Toko alat tulis dan kantor terlengkap di Makassar. Bahkan perlengkapan rumah tangga juga ada. Dekat atau di depan Mal Ratu Indah,5
"Tempat mencari ATK yg lenkap di kota Makassar,",5
"Tokonya makin lengkap, rekomendasi yang cocok untuk seller online. Cuman mesti siap siap sama harga barangnya, soalnya naiknya suka tiba-tiba. Buat yang suka beli barang yang sama secara rutin pasti berasa banget, baru minggu lalu harganya segini eh tiba tiba naik lagi 😂",3
Tempat beli ATK yang lengkap di Kota Makassar yang berada dipusat kota dengan harga grosir dan lokasi yang strategis sehingga mudah dijangkau dari berbagai kendaraan umum. Menyediakan pembelajaan dengan harga grosir bagi pengambilan yang banyak,4
"Tempat terlengkap untuk membeli ATK dan beberapa peralatan pesta ultah, dan perlengkapan acara",5
"Toko perlengkapan ATK terlengkap, jual mainan, souvenir, dll",5
"Tempat stationary terlengkap di Makassar, harganya murah. Tapi antriannya panjang sekali, di dalam berdesak2an juga. Yg g suka keramaian apalagi bawa anak agak penuh perjuangan kalau ke sini.",3
"Toko new agung ini toko alat tulis terbesar dimakassar.. setau saya...
Tpi, spertinya ngk lengkap juga sih.. contohnya sperti tadi pagi saya ke sana mncari plastik makanan.. tpi, ngk ready semua plastik...
Mau nanya di mbknya.. tpi, mbaknya malah mnjauh-_-
Beda dengan mbk²/ibu² yg ada didekat kasir... Malah mereka yg menawarkan.. ( cari apakii bu'? Mngkin bisa dibntu )

Lah? Kalau mbk² yg diblakang bagian plastik mah bodo amat.. lihat ada customer.. bukannya mndekat malah mnjauh...
Pdahal disitu kondisinya sepi skali.. pengunjung baru beberapa.. soalnya saya dtgnya jam 6 pagi",3
"Lengkap! Sejak dulu selalu lengkap apalagi skrang. Sayangnya waktu salah beli barang mau tukar terus dibalikin uang, karyawan yg di bagian pengembalian pasang muka angker & melayani sambil marah2 berasa pengen ton7ok mukanya. Makanya sy kasi 3 star aj. Pegawai lain semua ramah. Cuma dia aja yg gitu. Heran? Apa memang disuruh gitu kali ya utk org2 yg retur jadi lain kali kita lebih hati2 biar ga berurusan ama dia? Atau dia ownernya ya? Masak sih? Gak lah. Dari zaman tahun 80an up, Agung udah ada pelayanannya selalu baik.",3
"Tempat jual ATK yg lengkap, ada juga peralatan sekolah dari kaos kaki, seragam hingga topi. Peralatan pesta Ultah dari lilin, topi sampai hiasan dekorasi.",4
"Lengkap. Dari dulu belanja ATK disini.. cmn ada harga yg naik yah utk kantong plastik laundry yg pke ziplock.. semoga harganya nanti turun 😆 :"")",5
"Alat tulis lengkap dan beranekaragam pilihan, harga juga bervariasi",5
"Barang yang dijual bukan hanya alat tulis.. Souvenir, dll juga ada",4
"Besar, lengkap, murah, dan panas",5
Tempat yang keren dan bagus untuk pembelian ATK.. dijamin termurah deh,5
"Menjual berbagai perabot rumah tangga dan terlengkap dimakassar tapi ampuuun kenapa tambah mahal di agung 😭😭
Perasaan dulu paling murah disini tapi kalo di cek toko lain lebih murah ditoko lain, hanya itunya lagi disini lengkap sih",5
"Lengkap...
Murah...
Cuman agak panas 😁",5
pusat alat tulis kantor terlengkap dan murah,5
Karna tempat ini menyediakan segala macam kebutuhan Rumah tangga dan segala macam alat tulis menulis dengan harga yg relatif murah...,5
"Admin wa bisnis responnya kurang bagus dan kurang ramah, wa juga lama di balas dan kadang cuman di read",1
"toko atk serba ada...semua yg di butuh kan mulai dari tk,SD,SMP,sma kuliah bahkan sampe untuk perkantoran semua ada...",5
Bagus sangat lengkap untuk peralatan kantor dan sekolah,4
Toko yang lengkap kalo mau cari ATK di kota Makassar,4
Peralatan lengkap,5
Toko paling lengkap jika ingin mencari peralatan sekolah/ kuliah.,4
